#codeDisplay		ru2020	ru2020.use	ru2010
#nameDisplay		Russia 2020 Spoken	Russia 2020 Uses	Russia 2010
#isoRegionCode	RU			
#yearCollected		2020	2020	2010
#eligiblePopulation		147,182,123	147,182,123	142,856,536
#respondingPopulation		135,125,671	134,623,178	
#url		https://web.archive.org/web/20230213225905/http://rosstat.gov.ru/vpn_popul	https://web.archive.org/web/20230213225905/http://rosstat.gov.ru/vpn_popul	https://data.un.org/Data.aspx?d=POP&f=tableCode:27
#tableName		Table 4. Language proficiency and use of languages ​​by the population	Table 4. Language proficiency and use of languages ​​by the population	
#columnName		Number of people who speak the relevant language	of them use it in everyday life	
#datePublished				2012
#collectorName				
#collectorType	Government			
#dateAccessed		2023-02-13	2023-02-13	2025-06-13
#modality		Spoken	Uses	Spoken
#acquisitionOrder	Any			
#domain				
#sampleRate	1			
#responsesPerIndividual	1+			
#notes		Actual site offline, data from web archive & transliterated	Actual site offline, data from web archive & transliterated	Census - de jure - complete tabulation
Language Code	Language Name	Russia 2020		Russia 2010
mul	Total			142,856,536
mul	Those who indicated language proficiency	135,125,671	134,623,178	
rus	Russian	134,319,233	132,317,159	137,494,893
mis	Persons whose language proficiency is not indicated in the census forms	12,056,452		
eng	English	5,066,515	1,600,971	7,574,303
tat	Tatar	3,261,155	2,917,685	4,280,718
deu	German	1,063,037	218,166	2,069,949
che	Chechen	1,493,748	1,461,100	1,354,705
bak	Bashkir	1,086,423	941,377	1,152,404
ukr	Ukrainian	627,106	208,854	1,129,838
chv	Chuvash	700,222	619,902	1,042,989
ava	Avar	654,363	620,943	715,297
hye	Armenian	508,127	397,440	660,935
fra	French	235,199	47,348	616,394
kbd	Kabardian	4,857	4,311	515,672
dar	Dargan			485,705
aze	Azerbaijani	291,484	227,307	473,044
oss	Ossetian	344,907	332,068	451,431
kbd	Kabardino-Circassian	450,276	435,901	
sah	Yakut	377,722	363,096	450,140
kum	Kumyk	400,746	385,229	426,212
lez	Lezgi			402,173
kaz	Kazakh	265,703	188,479	401,455
mord1256	Mordvinian			392,941
chm	Mari	258,722	228,678	365,127
dar	Dargin	362,156	346,337	
inh	Ingush	333,151	326,635	305,868
udm	Udmurt	255,877	222,786	324,338
bua	Buryat	306,857	285,778	218,557
krc	Karachai-Balkar			305,364
lez	Lezgin	287,878	272,996	
krc	Karachay-Balkar	274,038	256,075	
uzb	Uzbek	228,962	156,146	273,451
tyv	Tuvinian			253,673
tyv	Tuvan	252,953	247,875	
rsl	Russian Sign Language	239,930	157,354	
mord1256	Mordvin	220,090	182,458	
tgk	Tajik	216,450	171,720	
bel	Byelorussian			173,980
kat	Georgian	81,009	47,595	170,659
kom	Komi	108,958	91,595	156,099
spa	Spanish	76,010	19,688	152,147
crh	Crimean Tatar	149,827	133,952	308
tur	Turkish	132,147	96,272	146,363
lbe	Lak	87,957	84,301	145,895
tgk	Tadzhik			141,938
rom	Romany			128,197
tab	Tabasaran	87,214	82,069	126,136
sgn	Sign Languages			120,528
ady	Adyge			119,463
rom	Chamalin / Gypsy	108,425	95,412	
xal	Kalmyk	107,742	100,826	
ron	Moldavian	46,500	21,742	96,061
nog	Nogai	85,640	78,173	87,119
kir	Kyrgyz	85,655	65,406	
ita	Italian	37,135	10,893	83,202
ady	Adyghe	81,294	75,793	
xal	Kalmouk			80,546
kir	Kirgliz			80,306
zho	Chinese	59,249	24,711	70,722
pol	Polish	22,557	5,592	67,446
mul	Persons whose census forms did not indicate their language proficiency	66,888	53,117	
koi	Komi-Permyak	41,447	35,715	63,106
alt	Altai	62,572	58,426	
bel	Belarusian	60,824	20,567	
alt	Altaian			55,720
ara	Arabic	46,028	17,098	46,750
kjh	Khakass			42,604
ell	Greek	17,655	10,918	42,518
kor	Korean	26,662	12,673	42,384
lat	Latin	17,888	5,424	40,200
myv	Erzya-Mordvin	40,045	36,776	
fin	Finnish	14,075	4,675	38,873
abq	Abaza	30,194	28,576	37,831
myv	Erzya-Mordvinian			36,726
kur	Kurd			34,699
jpn	Japanese	16,543	4,304	33,855
kur	Kurdish	31,703	27,157	
lit	Lithuanian	10,733	3,843	31,295
tuk	Turkmen	27,037	20,967	30,767
rut	Rutult			30,360
agx	Agul	20,563	19,513	29,287
kjh	Khakas	29,010	24,971	
krl	Karelian	13,872	8,688	25,605
yrk	Nenets	24,487	22,714	
mrj	Mountain Mari	15,352	14,882	23,062
bul	Bulgarian	8,842	3,582	22,906
lav	Latvian	8,565	2,648	22,079
yrk	Nenet			21,926
ron	Romanian	7,901	2,587	21,201
mul	Other			20,580
mdf	Moksha-Mordvin	19,911	18,047	
mul	Dagestani	19,235	14,649	
heb	Hebrew	10,569	4,608	18,822
ani	Andi	18,133	17,286	5,800
est	Estonian	6,724	2,457	15,583
ddo	Tsez	14,249	13,740	12,467
rut	Rutul	13,591	12,366	
ces	Czech	7,234	1,976	13,074
fas	Persian	6,011	2,685	13,073
por	Portuguese	5,197	1,756	11,207
hbs	Croato-Serbian			11,043
tkr	Tsakhur			10,596
kpt	Karata	10,303	9,945	
mul	Dagestanian			10,228
vie	Vietnamese	5,561	4,671	10,148
kca	Khanty	9,230	7,659	9,584
mon	Mongolian	4,502	1,820	8,829
swe	Swedish	2,821	794	7,395
hun	Hungarian	2,469	872	6,888
abk	Abkhazian	4,255	2,567	6,786
kap	Bezhta	6,497	5,978	6,072
tkr	Tsahkur	6,340	5,929	
hin	Hindi	5,298	3,784	6,331
gag	Gagauz	3,885	2,205	5,917
evn	Evenki	5,831	3,445	
heb	Jewish	2,177	1,452	5,820
hbs	Serbo-Croatian	5,708	2,399	
eve	Even	5,304	3,943	5,656
bph	Botlikh	5,244	5,115	206
ckt	Chukchee			5,095
akv	Akhvakh	5,019	4,730	
nor	Norwegian	2,063	567	4,928
cji	Chamalal	4,926	4,417	500
dlg	Dolgan	4,836	3,757	
evn	Evenk			4,802
tin	Tindi	4,730	4,677	
pus	Pushtu			4,649
syr	Syrian			4,466
vep	Vepsish			3,613
tly	Talyshi			3,402
nld	Dutch	1,246	481	3,356
ttt	Tat	3,215	2,950	2,012
gld	Nanai	3,180	2,543	1,347
huz	Hunzib	3,046	2,975	1,012
cjs	Shor	2,927	2,205	2,839
tly	Talysh	2,888	2,048	
gdo	Ghodoberi	2,731	2,662	
kpy	Koryak	2,633	2,101	1,665
ckt	Chukchi	2,607	1,670	
kva	Bagvalal	2,527	2,420	1,447
pus	Pashto	2,328	1,417	
dng	Dungan	2,300	2,002	502
udi	Udi			2,266
khv	Khvarshi	2,216	2,195	
vep	Veps	2,173	1,444	
tin	Tindal			2,152
trk	Turkic	1,513	759	2,025
mdf	Moksa-mordvi			2,025
slv	Slovenian	443	216	2,023
aii	Assyrian	1,922	1,397	
khv	Khvarshin			1,737
yid	Yiddish	1,146	621	1,683
xmf	Mingrelian	584	330	1,529
slk	Slovak	652	208	1,445
aqc	Archi	1,435	1,423	
dan	Danish	559	166	1,419
chu	Old Church Slavonic	1,352	659	
mns	Mansi	1,346	1,008	938
udi	Udin	1,320	1,002	
tele1257	Teleut	1,246	1,113	975
msa	Malay	101	46	1,221
sqi	Albanian	380	197	1,209
alab1256	Alabugat-Tatar	2	1	1,144
dlg	Dolgang			1,054
uig	Uighur			1,049
sel	Selkup	975	770	1,023
epo	Esperanto	753	289	992
aqc	Archin			970
prs	Dari	501	261	952
kaa	Kara-Kalpak	366	180	867
mis	Programming language	742	463	
swa	Swahili	499	269	739
kuma1284	Kumandinsky			738
niv	Nivkh	708	263	
crp	Mixed	658	318	
gin	Hinukh	638	617	
tha	Thai	594	230	588
itl	Itelmen	532	395	82
tuba1280	Tubalar	527	344	229
urd	Urdu	321	156	522
ind	Indonesian	321	124	515
bod	Tibetan	232	91	513
ale	Eskimo			508
mkd	Macedonian	260	112	507
chel1242	Chelkan	506	445	
ulc	Ulch	506	320	
atv	Kumandin	476	330	
uig	Uyghur	468	251	
sgh	Pamir	432	292	
lao	Laotian	416	362	
ben	Bengali	282	158	393
tam	Tamil	128	87	388
yuka1259	Yukagir			370
ykg	Yukaghir	359	243	
smi	Lappish			353
mya	Burmese	29	12	338
grc	Ancient Greek	328	74	
amh	Amharigna			311
chel1242	Chelkansky			310
nio	Nganasan	300	264	125
sme	Sami	259	168	
isl	Icelandic	75	20	233
mhr	Meadow-Eastern Mari	229	147	189
rue	Rusyn	227	127	
khm	Khmer	216	141	
ket	Ket	61	33	213
ahk	Akha			210
gle	Irish	91	31	208
niv	Nivkhi			198
ude	Udege	193	138	
alr	Alyutor	172	162	
ess	Central Siberian Yupik	172	92	
ain	Ainu	168	130	
sin	Sinhalese	162	110	
amh	Amharic	161	90	
mal	Malayalam	158	133	
orv	Old Russian	154	36	
ulc	Olcha			154
san	Sanskrit	147	68	
nog	Nogai-Karagash	146	100	
gdo	Godoberi			128
mis	Proto-Germanic	124	45	
ale	Aleut	123	99	
izh	Ingrian			123
afr	Afrikaans	121	81	
mis	Tactile letter	108	68	
mul	Pakistani	106	66	
ude	Udihe			103
enet1250	Enets	97	86	43
xbo	Bolgarian	97	77	
kim	Tofalar	8	1	93
mar	Marathi	89	71	
oaa	Uilta	89	74	
tgl	Tagalog	89	54	
mul	Angolan	80	34	
sgh	Shughni	79	52	
neg	Negidalt			74
vls	Belgian	73	37	
izh	Izhora / Ingrian	70	46	
vot	Votic			68
nep	Nepali	64	28	
gsw	Swiss	57	26	
kan	Kannada	55	45	
mul	Asian	55	20	
sux	Sumerian	53	32	
sna	Shona	52	33	
lin	Lingala	51	35	
che	Kistin	50	45	
fiu	Finno-Ugric	48	28	
oaa	Ujlta			47
kdr	Karaim	45	30	
pan	Punjabi	45	23	
ale	Aleutian			45
tat	Teptyar	44	39	
clw	Chulym-Turkic			44
oac	Orochi	43	28	
kin	Kinyarwanda	42	31	
cym	Welsh	41	12	
som	Somali	40	30	
mul	Nigerian	39	20	
yurt1234	Yurt-Tatar	39	33	
vot	Vodsky	39	31	
tel	Telugu	37	25	
mul	Indian	34	18	
sgn	Other sign languages	33	18	
chec1244	Vainakh	32	26	
clw	Chulym	32	15	
sva	Svan	32	15	
gcc	Mali	30	19	
ssw	Swati	26	20	
hau	Hausa	25	13	
alr	Aliutor			25
crp	Creole	24	14	
bem	Bemba	23	15	
hat	Haitian	23	18	
mri	Maori	23	9	
sgh	Rushan	23	13	
yor	Yoruba	23	9	
mul	Balkan	22	14	
neg	Negidal	22	14	
sco	Scots	22	7	
mlt	Maltese	20	10	
ber	Berber	20	13	
zul	Zulu	20	11	
swc	Congolese	19	13	
haw	Hawaiian	18	11	
hbo	Ancient Hebrew	18	3	
mul	Canadian	18	11	
wbl	Wakhan	18	13	
bnt	Bantu	17	7	
mul	Soviet	17	16	
egy	Ancient Egyptian	16	7	
bat	Baltic	16	8	
naq	Nama	16	14	
myn	Maya	16	10	
guj	Gujarati	15	9	
mlg	Malagasy	15	9	
mul	Scandinavian	15	6	
yue	Cantonese	15	6	
trk	Turks	14	7	
mul	European	14	7	
wes	Cameroonian	14	11	
mul	CIS countries	13	4	
cel	Celtic	13	6	
mul	Central Asian	13	5	
wol	Senegalese	13	10	
bam	Bamana	12	6	
kas	Kashmiri	12	7	
mul	Bolivian	11	6	
sag	Sango	11	11	
lzz	Laz	10	9	
tpi	Tok Pisin	10	5	
krk	Kerek	4	0	10
ful	Fulah	9	3	
ltz	Luxembourgish	9	5	
mul	Liturgical	9	5	
und	Guinean	9	7	
nya	Nyanja	9	6	
tsn	Setswana	9	5	
asm	Assamese	8	6	
eus	Basque	8	7	
ibo	Igbo	8	5	
kjj	Khinalugh	8	4	
sin	Lankan	8	2	
que	Quechua	8	3	
qwm	Polovtsian	8	6	
sus	Susu	8	6	
oac	Oroch			8
lug	Luganda	7	5	
nia	Nias	7	7	
yug	Yug	7	5	
bal	Baluchi	6	1	
ota	Ottoman	6	3	
crp	Kriol	6	5	
tok	Toki Pona	6	2	
yai	Yagnobi	6	4	
aka	Akan	5	3	
div	Maldivian	5	2	
fon	Benin	5	5	
jct	Krymchak	5	3	
kok	Konkani	5	3	
mis	Proto-Iranian	5	4	
mul	Togolese	5	1	
poly1242	Polynesian	5	4	
nde	Ndebele	5	2	
wol	Wolof	5	2	
ysr	Sireniksky			5
ave	Avestan	4	3	
anp	Angika	4	2	
bci	Baule	4	1	
bin	Edo	4	4	
bre	Breton	4	3	
dyu	Diula	4	2	
fat	Fanti	4	1	
fao	Faroese	4	1	
liv	Liv	4	0	
mnk	Malinke	4	3	
mnc	Manchu	4	1	
mos	Burkinabe	4	2	
mul	Guatemalan	4	1	
mul	Singaporean	4	3	
orm	Oromo	3	1	4
ypk	Yuitsky			4
ban	Balinese	3	1	
bca	Bai	3	0	
cop	Coptic	3	2	
dta	Daurian	3	1	
fry	Frisian	3	1	
ina	Interlingua	3	3	
ibb	Ibibio	3	0	
iku	Inuit	3	3	
jbo	Lojban	3	0	
lad	Sephardic	3	3	
isle1246	Mascarene	3	2	
map	Austronesian	3	1	
kipc1239	Kypchak	3	1	
mul	Mozambican	3	3	
raj	Rajasthani	3	3	
roh	Rhaeto-Romance	3	2	
smo	Samoan	3	2	
sot	Sesotho	3	1	
tir	Tigrinya	3	2	
und	Ghanaian	2	2	
bdk	Budukh	2	0	
bho	Bhojpuri	2	1	
bis	Bislama	2	1	
car	Carib	2	2	
ess	Yupik	2	0	
fon	Fon	2	2	
hit	Hittite	2	1	
hns	Guyanese Creole	2	1	
kea	Kabuverdianu	2	2	
kmb	Kimbundu	2	1	
ktu	Kituba	2	1	
mni	Manipuri	2	2	
mos	Moore	2	2	
mul	Northern Peoples	2	2	
roa	Romance	2	1	
kuki1245	Naga	2	0	
non	Old Norse	2	2	
ysr	Sirenik	2	1	
asan1239	Ashanti	1	0	
aym	Aymara	1	1	
byf	Bete	1	1	
ewe	Ewe	1	0	
ett	Etruscan	1	0	
hni	Hani	1	0	
ido	Ido	1	1	
kik	Kikuyu	1	0	
kpe	Kpelle	1	1	
kau	Kanuri	1	0	
kri	Sierra Leonean	1	0	
kry	Kryts	1	1	
lij	Monegasque	1	1	
loz	Lozi	1	0	
lun	Lunda	1	1	
luo	Doluo	1	1	
mas	Masai	1	0	
mul	Gambian	1	1	
mul	South African	1	0	
art-slovio	Slovio	1	0	
mul	Himalayan	1	1	
ogo	Khana	1	0	
quc	Kiche	1	0	
snd	Sindhi	1	0	
sia	Akkala	1	0	
slr	Salar	1	1	
tig	Tigre	1	1	
tou	Tho	1	0	
yah	Yazgulyam	1	1	
yug	Yugh			1