Territory Code	GDP	Literacy
Literacy from UN https://data.un.org/Data.aspx?d=POP&f=tableCode:31		
GDP from CIA Factbook https://www.cia.gov/the-world-factbook/field/real-gdp-purchasing-power-parity		
Parsed by CLDR, see https://cldr.unicode.org/development/updating-codes/updating-population-gdp-literacy		
Last processed 2024
AC	50800000	99
AD	5168000000	100
AE	719700000000	90
AF	80420000000	28.1
AG	2703000000	99
AI	175400000	95
AL	49590000000	96.8
AM	57730000000	99.6
AO	265900000000	70.4
AQ	21640000	99
AR	1235000000000	97.9
AS	658000000	97
AT	590400000000	98
AU	1584000000000	99
AW	4498000000	96.8
AX	929800000	100
AZ	215900000000	99.8
BA	63770000000	98
BB	4920000000	99.7
BD	1413000000000	57.7
BE	751600000000	99
BF	57150000000	28.7
BG	214100000000	98.4
BH	85490000000	94.6
BI	11350000000	67.2
BJ	52510000000	42.4
BL	255000000	99
BM	6349000000	98
BN	35260000000	95.4
BO	119800000000	91.2
BQ	539800000	99
BR	4016000000000	90.4
BS	13220000000	95.6
BT	10980000000	52.8
BV	54050	99
BW	46740000000	85.1
BY	254400000000	99.6
BZ	5257000000	76.9
CA	2238000000000	99
CC	35090000	99
CD	154000000000	66.8
CF	5849000000	56.6
CG	38160000000	83.8
CH	733800000000	99
CI	202800000000	56.9
CK	266000000	95
CL	579200000000	98.6
CM	138900000000	71.3
CN	31230000000000	95.1
CO	978000000000	93.6
CP	55050	99
CQ	21940000	99
CR	134200000000	96.3
CU	137000000000	99.8
CV	4903000000	84.9
CW	4137000000	99
CX	100100000	99
CY	46980000000	98.7
CZ	519000000000	99
DE	5230000000000	99
DG	27020000	99
DJ	7380000000	67.9
DK	428400000000	99
DM	1159000000	94
DO	261600000000	90.1
DZ	699900000000	72.6
EA	7113000000	97.7
EC	260200000000	91.6
EE	57380000000	99.8
EG	1912000000000	73.9
EH	906500000	50
ER	9702000000	68.9
ES	2242000000000	97.7
ET	354600000000	39
FI	321100000000	100
FJ	12700000000	93.7
FK	206400000	99
FM	437900000	89
FO	3798000000	99
FR	3764000000000	99
GA	48200000000	89
GB	3700000000000	99
GD	2008000000	96
GE	83660000000	99.7
GF	1551000000	83
GG	3465000000	100
GH	229600000000	71.5
GI	2044000000	80
GL	3857000000	100
GM	7905000000	51.1
GN	56660000000	41
GP	3513000000	90
GQ	28940000000	94.2
GR	375800000000	97.3
GS	1081000	99
GT	223200000000	75.9
GU	5793000000	99
GW	5099000000	55.3
GY	40540000000	91.8
HK	485600000000	93.5
HM	59170	99
HN	68850000000	85.1
HR	159300000000	98.9
HT	34410000000	48.7
HU	388900000000	99
IC	99510000000	97.7
ID	3906000000000	92.8
IE	608500000000	99
IL	471000000000	97.1
IM	6792000000	99
IN	13100000000000	62.8
IO	189200000	99
IQ	572900000000	78.5
IR	1440000000000	85
IS	26160000000	99
IT	3097000000000	99
JE	5569000000	99
JM	29230000000	87
JO	106800000000	95.9
JP	5761000000000	99
KE	314100000000	87.4
KG	45460000000	99.2
KH	85900000000	73.9
KI	423800000	96.8
KM	2961000000	75.5
KN	1438000000	97.8
KP	40000000000	100
KR	2615000000000	97.9
KW	219100000000	93.9
KY	5467000000	98.9
KZ	705500000000	99.7
LA	64170000000	72.7
LB	65820000000	89.6
LC	4083000000	90.1
LI	4978000000	100
LK	287100000000	91.2
LR	8884000000	60.8
LS	5868000000	89.6
LT	132700000000	99.7
LU	88530000000	100
LV	71150000000	99.8
LY	122000000000	89.5
MA	337500000000	67.1
MC	7672000000	99
MD	38970000000	99
ME	17120000000	98.5
MF	449000000	99
MG	51260000000	64.5
MH	283600000	93.7
MK	42440000000	97.4
ML	57240000000	33.4
MM	290500000000	92.7
MN	56260000000	97.4
MO	71840000000	95.6
MP	1242000000	97
MQ	6117000000	98
MR	30400000000	58.6
MS	167400000	97
MT	31660000000	92.4
MU	33530000000	88.8
MV	11650000000	98.4
MW	35240000000	74.8
MX	2873000000000	93.5
MY	1152000000000	93.1
MZ	50630000000	56.1
NA	29940000000	88.8
NC	10270000000	96.2
NE	44560000000	28.7
NF	103400000	99
NG	1275000000000	61.3
NI	51090000000	78
NL	1240000000000	99
NO	499500000000	100
NP	144300000000	57.4
NR	146000000	99
NU	18700000	95
NZ	254800000000	99
OM	186000000000	86.9
PA	159900000000	94.1
PE	517600000000	89.6
PF	5650000000	98
PG	42900000000	62.4
PH	1138000000000	95.4
PK	1347000000000	54.9
PL	1616000000000	99.7
PM	261300000	99
PN	2702000	99
PR	137800000000	90.3
PS	54840000000	95.3
PT	439000000000	95.4
PW	284700000	92
PY	108000000000	93.9
QA	305000000000	96.3
RE	4791000000	88
RO	772100000000	97.7
RS	162200000000	98
RU	5816000000000	99.7
RW	42700000000	71.1
SA	1831000000000	87.2
SB	2025000000	84.1
SC	3530000000	91.8
SD	136000000000	71.9
SE	676400000000	99
SG	754800000000	95.9
SH	31100000	97
SI	102000000000	99.7
SJ	265300000	100
SK	213100000000	99.6
SL	14630000000	43.3
SM	2218000000	96
SN	77380000000	49.7
SO	26350000000	37.8
SR	11820000000	94.7
SS	20010000000	27
ST	1267000000	69.5
SV	71960000000	84.5
SX	1912000000	99
SY	62150000000	84.1
SZ	12810000000	87.8
TA	14860000	99
TC	1030000000	98
TD	32450000000	35.4
TF	7707000	99
TG	25750000000	60.4
TH	1516000000000	93.5
TJ	46470000000	99.7
TK	7712000	99.6
TL	6265000000	58.3
TM	94790000000	99.6
TN	153600000000	79.1
TO	700400000	99
TR	2936000000000	94.1
TT	43680000000	98.8
TV	59200000	95
TW	1143000000000	96.1
TZ	234100000000	67.8
UA	560000000000	99.7
UG	135700000000	73.2
UM	22790000	99
US	24660000000000	99
UY	105100000000	98.1
UZ	319200000000	99.4
VA	50800000	100
VC	1858000000	96
VE	269100000000	95.5
VG	500000000	97.8
VI	4895000000	99
VN	1354000000000	93.4
VU	999500000	83.2
WF	60000000	50
WS	1359000000	98.8
XK	23790000000	91.9
YE	73630000000	65.3
YT	953600000	80.8
ZA	863000000000	93
ZM	76490000000	61.4
ZW	58580000000	83.6